owner,dt_create,dt_update,description,name,photo,price,tags,type
55e2cbe2e058d7062b01710b,30 Aug 15-14:54,30 Aug 15-14:54,Rice,BOILED,,,,Food
,,,,Ratna,,28/kg,,
,,,,Dudeshwar,,42/kg,,
,,,,Baskati,,42/kg,,
,,,,Sela Sedda,,48/kg,,
,,,,Minikit,,34/kg,,
,,,,RAW,,,,
,,,,BN 20,,31/kg,,
,,,,Sanam,,36/kg,,
,,,,Govind Bhog,,60/kg,,
,,,,India Gate,,130/kg,,
,,,Dal,Lobhia,,80/kg,,
,,,,Punjab Masur,,116/kg,,
,,,,Kamal Masur ,,130/kg,,
,,,,Moong,,108/kg,,
,,,,S.Moong,,140/kg,,
,,,,Chola,,76/kg,,
,,,,Arahar,,150/kg,,
,,,,Matar,,76/kg,,
,,,,Urad,,130/kg,,
,,,,Gota Urad,,120/kg,,
,,,,Gota Moong,,105/kg,,
,,,,Gota Matar,,40/kg,,
,,,,Lal Chana,,56/kg,,
,,,,Kabuli Chana,,90/kg,,
,,,,Rajma,,100/kg,,
,,,,cleaned Bhaja Chana,,95/kg,,
,,,,Chiney Badam,,110/kg,,
,,,,Sabudana,,80/kg,,
,,,,,,,,
,,,Masala,SABUT Masala,,,,
,,,,Gota Jeera,,24/100 gms,,
,,,,Kala Sarso,,10/100 gms,,
,,,,Sada Sarso,,12/100 gms,,
,,,,Shukno Lanka,,18/100 gms,,
,,,,Methi,,16/100 gms,,
,,,,Mouri,,20/100 gms,,
,,,,Radhoni,,20/100 gms,,
,,,,Kala Jeera,,32/100 gms,,
,,,,Gota Dhania,,28/100 gms ,,
,,,,POWDER,,,,
,,,,Sunrise Mustard Powder,,15/40 gms,,
,,,,Haldi Pwder ,,20/100 gms,,
,,,,Jeera Powder,,34/100 gms,,
,,,,Dhania Powder ,,24/100 gms,,
,,,,Lanka Powder,,22/100 gms,,
,,,,Shahi Garam Masala powder,,6/5 gms,,
,,,,Lg Hing,,60/50 gms,,
,,,,Everest hing,,35/25 gms,,
